id,name_uk,category,type,buy_price,craft_level,craft_time,craft_exp,output_qty,shop_section,sell_price,components_complete,notes
antidote,Протиотрута,mixture,product,,3,00:50,3,3,ANTIDOTE,5.00,true,
bandage,Бинт,bandage,product,,1,00:15,1,5,BANDAGES,0.50,true,
sterile_bandage,Стерильний бинт,bandage,product,,1,00:20,1,5,BANDAGES,2.00,true,
strengthening_mixture,Зміцнююча мікстура,mixture,product,,3,00:45,3,2,MIXTURE,7.50,true,
healing_drink,Загоюючий напій,mixture,product,,3,00:45,3,2,MIXTURE,15.50,true,
restoring_emulsion,Відновлююча емульсія,mixture,product,,3,00:45,3,2,MIXTURE,8.00,true,
reparative_suspension,Репаративна суспензія,mixture,product,,3,00:45,3,2,MIXTURE,8.00,true,
stabilizing_solution,Стабілізаційний розчин,mixture,product,,3,00:45,3,2,MIXTURE,8.00,true,"Shop page spells it ""Стабілізуючий розчин"""
tonic_herbs,Тонізуючий збір лікарських трав,herbs,intermediate,,1,00:20,1,1,,,true,
healing_herbs,Цілющий збір лікарських трав,herbs,intermediate,,1,00:20,1,1,,,true,
calming_herbs,Заспокійливий збір лікарських трав,herbs,intermediate,,1,00:20,1,1,,,true,
restoring_herbs,Відновлюючий збір лікарських трав,herbs,intermediate,,1,00:20,1,1,,,true,
alcohol_flask,Флакон спирту,base,intermediate,,1,00:30,1,100,,,true,
warming_ointment,Зігріваюча мазь,ointment,product,,1,00:20,1,3,ointment,,true,
liver_extract,Витяжка з печінки,extract,intermediate,,2,01:00,2,5,,,true,
venom_extract,Витяжка з отрути,extract,intermediate,,2,01:00,2,5,,,true,
poppy_concentrate,Концентрат макової рідини,extract,product,,3,01:20,3,3,,,true,
coca_extract,Екстракт листя коки,extract,intermediate,,3,01:20,3,3,,,true,
oak_bark_decoction,Відвар кори дуба,tonic,product,,2,00:30,2,3,tonic,,true,
invigorating_tonic,Бадьорящий тонік,tonic,product,,2,00:30,2,3,tonic,,true,
healing_infusion,Лікувальний настій,tonic,product,,3,00:40,3,4,tonic,,true,
ammonia_spirit,Нашатирний спирт,tonic,product,,2,00:40,2,4,tonic,,true,
bee_medicine,Ліки для бджіл,animal,product,,2,00:30,2,5,animal,,true,
dog_medicine,Ліки для собаки,animal,product,,2,00:30,2,3,animal,,true,
horse_medicine,Ліки для коня,animal,product,,3,00:40,3,1,animal,,true,
coca_gum,Кокаїнові жуйки,drug,product,,3,01:00,3,5,drug,,true,
laudanum,Лауданум,drug,product,,4,00:40,5,2,drug,,false,Components not captured in screenshots
resuscitation_syringe,Реанімаційний шприц,medical,product,,4,02:00,5,2,,,false,Components not captured in screenshots
alaskan_ginseng,Аляскинський женьшень,raw,raw,0.3,,,,,,,,
bitter_weed,Гіркий бур'ян,raw,raw,0,,,,,,,,
desert_sage,Шавлія пустельна,raw,raw,0,,,,,,,,
wild_feverfew,Дикий білоцвіт,raw,raw,0.4,,,,,,,,
wintergreen,Гаультерія,raw,raw,1,,,,,,,,
american_ginseng,Американський женьшень,raw,raw,0.8,,,,,,,,
bloodflower,Кровоцвіт,raw,raw,0,,,,,,,,
burdock_root,Корінь лопуха,raw,raw,0,,,,,,,,
achillea,Ахілея,raw,raw,0,,,,,,,,
yarrow,Деревій,raw,raw,0.3,,,,,,,,
milkweed,Молочай,raw,raw,0,,,,,,,,
sensitive_mimosa,Мімоза сором'язлива,raw,raw,0,,,,,,,,
empty_flask,Порожній флакон,raw,raw,0,,,,,,,,
spirit,Спирт,raw,raw,0,,,,,,,,
wool,Вовна,raw,raw,0,,,,,,,,
fiber,Волокна,raw,raw,0,,,,,,,,
honey,Мед,raw,raw,0,,,,,,,,
chili_pepper,Перець Чилі,raw,raw,0,,,,,,,,
rubber,Каучук,raw,raw,0,,,,,,,,
pork_fat,Свиняче сало,raw,raw,0,,,,,,,,
predator_liver,Печінка хижого звіра,raw,raw,0.55,,,,,,,,
sulfur,Сірка,raw,raw,0,,,,,,,,
snake_venom,Зміїна отрута,raw,raw,0,,,,,,,,
steppe_poppy,Степовий мак,raw,raw,0,,,,,,,,
coca_leaves,Листя коки,raw,raw,0,,,,,,,,
cork_bark,Коркова кора,raw,raw,0,,,,,,,,
tree_sap,Деревний сік,raw,raw,0,,,,,,,,
coffee_beans,Кавові зерна,raw,raw,0,,,,,,,,
resin,Смола,raw,raw,0,,,,,,,,
rams_head,Баран-голова,raw,raw,0,,,,,,,,Low-confidence OCR
sugar,Цукор,raw,raw,0,,,,,,,,
empty_syringe,Порожній шприц,raw,raw,0,,,,,,,,
