product_id,component_id,quantity
tonic_herbs,alaskan_ginseng,3
tonic_herbs,bitter_weed,3
tonic_herbs,desert_sage,3
healing_herbs,wild_feverfew,3
healing_herbs,wintergreen,3
healing_herbs,american_ginseng,3
calming_herbs,bloodflower,3
calming_herbs,burdock_root,3
calming_herbs,yarrow,3
restoring_herbs,wolfberry,3
restoring_herbs,milkweed,3
restoring_herbs,sensitive_mimosa,3
alcohol_flask,empty_flask,100
alcohol_flask,spirit,1
bandage,wool,2
bandage,fiber,15
sterile_bandage,wool,5
sterile_bandage,alcohol_flask,5
warming_ointment,honey,2
warming_ointment,chili_pepper,2
warming_ointment,rubber,2
warming_ointment,pork_fat,5
liver_extract,predator_liver,5
liver_extract,sulfur,5
liver_extract,empty_flask,5
venom_extract,snake_venom,5
venom_extract,sulfur,3
venom_extract,empty_flask,5
poppy_concentrate,steppe_poppy,10
poppy_concentrate,sulfur,10
poppy_concentrate,empty_flask,3
coca_extract,coca_leaves,15
coca_extract,sulfur,10
coca_extract,empty_flask,3
oak_bark_decoction,cork_bark,4
oak_bark_decoction,tree_sap,10
oak_bark_decoction,empty_flask,3
invigorating_tonic,tonic_herbs,1
invigorating_tonic,coffee_beans,5
invigorating_tonic,empty_flask,3
healing_infusion,healing_herbs,2
healing_infusion,honey,5
healing_infusion,empty_flask,4
ammonia_spirit,tonic_herbs,1
ammonia_spirit,liver_extract,1
ammonia_spirit,alcohol_flask,4
antidote,calming_herbs,1
antidote,venom_extract,1
antidote,alcohol_flask,3
strengthening_mixture,restoring_herbs,1
strengthening_mixture,tree_sap,5
strengthening_mixture,empty_flask,2
healing_drink,healing_herbs,1
healing_drink,honey,7
healing_drink,empty_flask,2
restoring_emulsion,tonic_herbs,1
restoring_emulsion,resin,5
restoring_emulsion,empty_flask,2
reparative_suspension,restoring_herbs,1
reparative_suspension,rams_head,6
reparative_suspension,empty_flask,2
stabilizing_solution,calming_herbs,1
stabilizing_solution,sulfur,2
stabilizing_solution,empty_flask,2
bee_medicine,calming_herbs,1
bee_medicine,honey,2
bee_medicine,tree_sap,5
dog_medicine,calming_herbs,1
dog_medicine,pork_fat,5
dog_medicine,empty_syringe,3
horse_medicine,healing_herbs,1
horse_medicine,sugar,5
horse_medicine,tree_sap,10
coca_gum,coca_extract,2
coca_gum,honey,8
coca_gum,rubber,5
